randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (20.0 pts),2.1: 1 (15.0 pts),2.2: 2 (20.0 pts),3.1: 1 (10.0 pts),3.2: 2 (10.0 pts),3.3: 3 (10.0 pts),4.1 (35.0 pts),5: Q5 (30.0 pts)
549851463,147.0,150.0,Graded,2022-10-06 12:20:05 -0500,00:00:00,3.0,1.0,20.0,15.0,18.0,10.0,10.0,10.0,35.0,29.0
802011554,125.5,150.0,Graded,2022-10-06 12:19:12 -0500,00:00:00,5.0,1.0,18.0,15.0,15.0,5.0,8.0,4.0,31.5,29.0
635747278,110.5,150.0,Graded,2022-10-06 12:20:41 -0500,00:00:00,2.0,1.0,14.0,14.0,14.0,5.0,6.0,8.0,28.5,21.0
827611327,137.5,150.0,Graded,2022-10-06 12:19:57 -0500,00:00:00,3.0,1.0,18.0,15.0,19.0,10.0,10.0,10.0,28.5,27.0
981101538,104.5,150.0,Graded,2022-10-06 12:24:09 -0500,00:00:00,2.0,1.0,16.0,15.0,10.0,10.0,10.0,10.0,9.5,24.0
987928730,121.5,150.0,Graded,2022-10-06 12:22:55 -0500,00:00:00,1.0,1.0,18.0,15.0,15.0,9.0,9.0,10.0,16.5,29.0
200028206,81.5,150.0,Graded,2022-10-06 12:29:01 -0500,00:04:01,5.0,2.0,16.0,10.0,11.0,10.0,10.0,2.0,22.5,0.0
367317839,150.0,150.0,Graded,2022-10-06 12:17:16 -0500,00:00:00,1.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,35.0,30.0
724100099,73.5,150.0,Graded,2022-10-06 12:24:06 -0500,00:00:00,1.0,1.0,6.0,14.0,2.0,10.0,8.0,10.0,1.5,22.0
155851248,109.0,150.0,Graded,2022-10-06 12:23:48 -0500,00:00:00,1.0,1.0,14.0,15.0,15.0,10.0,10.0,8.0,18.0,19.0
320001219,121.0,150.0,Graded,2022-10-06 12:17:57 -0500,00:00:00,7.0,1.0,12.0,15.0,20.0,5.0,10.0,4.0,28.0,27.0
806095004,112.0,150.0,Graded,2022-10-06 12:25:39 -0500,00:00:39,0.0,1.0,14.0,15.0,15.0,10.0,10.0,0.0,19.0,29.0
794981163,136.5,150.0,Graded,2022-10-06 12:18:48 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,6.0,31.5,26.0
912932855,143.0,150.0,Graded,2022-10-06 12:22:32 -0500,00:00:00,1.0,1.0,20.0,15.0,14.0,10.0,10.0,10.0,35.0,29.0
500762519,131.5,150.0,Graded,2022-10-06 13:03:38 -0500,00:38:38,4.0,1.0,16.0,15.0,20.0,10.0,10.0,8.0,22.5,30.0
973763888,136.5,150.0,Graded,2022-10-06 12:21:57 -0500,00:00:00,2.0,1.0,18.0,15.0,20.0,10.0,10.0,10.0,29.5,24.0
170991668,149.5,150.0,Graded,2022-10-06 12:26:47 -0500,00:01:47,0.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,34.5,30.0
259154711,128.0,150.0,Graded,2022-10-06 14:44:30 -0500,02:19:30,1.0,1.0,20.0,15.0,20.0,10.0,10.0,10.0,28.0,15.0
853027552,140.0,150.0,Graded,2022-10-06 12:22:33 -0500,00:00:00,5.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,32.0,29.0
